id,type,recipe,title,most_similar,ratings,stars,image,ingredients,directions
0,main,20900/easter-breakfast-casserole/,Easter Breakfast Casserole,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",557,4.52603244781494,https://images.media-allrecipes.com/userphotos/560x315/4556853.jpg,"['1 pound bacon', '1/4 cup diced onion', '1/4 cup diced green bell pepper', '3 cups shredded Cheddar cheese', '8 eggs', '2 cups milk', '1 (16 ounce) package frozen hash brown potatoes, thawed']","['Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 7x11 inch casserole dish.', 'Fry the bacon in a large, deep skillet over medium-high heat until evenly browned, about 10 minutes. Drain on a paper towel-lined plate. Crumble.', 'In a large bowl beat together eggs and milk. Mix in cheese, bacon, onion and green pepper. Stir in the thawed hash browns. Pour mixture into prepared casserole.', 'Cover with aluminum foil and bake in preheated oven for 45 minutes. Uncover and bake for another 30 minutes until eggs have set.']"
1,certain,20917/egg-and-hash-brown-pie/,Egg and Hash Brown Pie,"[]",267,4.38202238082886,https://images.media-allrecipes.com/userphotos/560x315/2991529.jpg,"['6 slices bacon', '5 eggs', '1/2 cup milk', '3 cups frozen hash brown potatoes, thawed', '1/3 cup chopped green onions', '1 1/2 cups shredded Cheddar cheese, divided']","['Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble, and set aside.', 'Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 7x11 inch baking dish.', 'In a large bowl, beat together the eggs and milk. Stir in the bacon, hash browns, green onions, and 1 cup shredded Cheddar cheese. Pour into the prepared baking dish.', 'Bake in the preheated oven 25 to 35 minutes, or until a knife inserted in the center comes out clean. Sprinkle the remaining Cheddar cheese on top, and continue baking for 3 to 4 minutes, or until the cheese is melted. Remove from oven, and let sit 5 minutes before serving.']"
2,certain,245951/bacon-breakfast-casserole-gluten-free/,Bacon Breakfast Casserole (Gluten Free),"[]",0,4.75,https://images.media-allrecipes.com/userphotos/560x315/3185077.jpg,"['1 pound bacon', '2 cups milk', '8 eggs', '1 teaspoon seasoned salt', '1 teaspoon ground black pepper', '2 cups shredded Cheddar cheese', '1 onion, chopped', '1 green bell pepper, chopped', '3 red potatoes, thinly sliced', '5 mushrooms, sliced']","['Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels, reserving 1 tablespoon bacon grease. Crumble bacon into pieces.', 'Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch casserole dish with reserved bacon grease.', 'Place milk, eggs, seasoned salt, and black pepper in the bowl of a stand mixer fitted with a paddle attachment. Beat on medium speed until smooth and pale, about 5 minutes. Add bacon pieces, Cheddar cheese, onion, and green bell pepper; beat until combined, about 1 1/2 minutes more.', 'Layer potato slices in the bottom of the casserole dish. Pour egg mixture over potatoes. Arrange sliced mushrooms on top. Cover casserole with aluminum foil.', 'Bake in the preheated oven, about 35 minutes. Remove aluminum foil and bake until eggs are set, about 30 minutes more.']"
3,certain,270871/gluten-free-spicy-breakfast-casserole/,Gluten-Free Spicy Breakfast Casserole,"[]",0,5,https://images.media-allrecipes.com/userphotos/560x315/1114078.jpg,"['1 teaspoon oil, or as needed', '1 medium onion, diced', '1 red bell pepper, diced', '1 pound chorizo sausage', '8 eggs', '2 cups milk', '1/2 teaspoon ground mustard', 'salt and ground black pepper to taste', '2 cups shredded Cheddar cheese, divided', '1 (16 ounce) package frozen hash brown potatoes, thawed']","['Grease a 9x13-inch baking dish and set aside.', 'Heat a skillet over medium-high heat and add oil, onion, and bell pepper. Cook until onion is soft and translucent, about 5 minutes. Remove from heat.', 'Heat a second skillet over medium-high heat and cook chorizo until browned on the outside, about 5 minutes. Continue cooking, chopping chorizo with a spatula, until it becomes loose like ground meat, about 5 minutes more. Drain and discard grease. Set aside.', 'Whisk eggs, milk, mustard, salt, and pepper together in a large bowl. Stir in 1 1/2 cups Cheddar cheese, cooked onion mixture, chorizo, and hash brown potatoes. Pour mixture into the prepared baking dish, cover with aluminum foil, and refrigerate overnight.', 'Remove casserole from the refrigerator 30 minutes ahead of time. Preheat the oven to 350 degrees F (175 degrees C).', 'Bake covered casserole in the preheated oven for 30 minutes. Uncover and sprinkle remaining 1/2 cup Cheddar cheese on top. Return to the oven and bake until a fork inserted in the middle comes out clean, about 30 minutes more.']"
4,certain,229284/ham-and-hash-brown-quiche/,Ham and Hash Brown Quiche,"[]",146,4.78767108917236,https://images.media-allrecipes.com/userphotos/560x315/6173042.jpg,"['3 cups frozen hash brown potatoes, thawed', '3 tablespoons butter, melted', '1 cup cooked ham, chopped', '1 cup shredded Cheddar cheese', '1/4 cup chopped onion', '1/4 cup chopped green bell pepper', '3 large eggs', '1/2 cup milk', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper']","['Preheat oven to 425 degrees F (220 degrees C).', 'Press hash brown potatoes between paper towels to remove excess moisture. Transfer potatoes to an 8-inch pie dish and press into the bottom and up the sides of the dish to form a crust. Drizzle with melted butter.', 'Bake in preheated oven until golden, about 25 minutes. Remove from oven and reduce heat to 350 degrees F (175 degrees C).', 'Combine ham, Cheddar cheese, onion, and bell pepper in a bowl; spread mixture over potato crust. Beat eggs, milk, salt, and black pepper in the same bowl; pour over ham mixture.', 'Bake in oven until eggs are set, 25 to 30 minutes.']"
5,certain,l-recipe/62648523/breakfast-casserole/,Breakfast Casserole,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['4 eggs', '3 tablespoons sugar', '2 tablespoons milk', '1/2 teaspoon cinnamon', '1/2 teaspoon vanilla extract', '6-8 slices bread']","['Whisk eggs in a bowl until smooth, then whisk in all other ingredients except for the bread.', 'Heat a large frying pan over medium heat.  When hot, spray with no stick spray.  Dip bread, one slice at a time, into the egg mixture, let excess drip off, then place in the frying pan.  Cook until golden, then flip and cook the other side.', 'Repeat with the rest of the bread, putting as many slices in the skillet at once as will fit in a single layer.', 'Serve with maple syrup, honey, fruit sauce and whipped cream, or whatever else you can think of that sounds good!']"
6,uncertain,l-recipe/62124894/shannons-breakfast-casserole/,Shannon's Breakfast Casserole,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['1 quart lime sherbet', '1 (2 liter) bottle 7UP®', ""6 ounces Rose's® Mojito"", '1 cup white rum (optional)']","['Add the ingredients to 1 gallon punch bowl.', 'Garnish the punch bowl with mint leaves and slices of lemon and lime.']"
7,uncertain,230996/beckys-healthier-ham-and-cheese-quiche/,Becky's Healthier Ham and Cheese Quiche,"[]",0,4.86666679382324,https://images.media-allrecipes.com/userphotos/560x315/999519.jpg,"['3/4 cup white rice flour', '1/2 cup brown rice flour', '1/2 cup sorghum flour', '1/4 cup potato starch', '3 tablespoons tapioca starch', '1 tablespoon sweet rice flour', '1 tablespoon rice starch', '1 tablespoon baking powder', '2 teaspoons white vanilla powder', '1 cup superfine sugar', '1 teaspoon fine salt']","['Sift white rice flour, brown rice flour, sorghum flour, potato starch, tapioca starch, sweet rice flour, rice starch, baking powder, and vanilla powder together twice in the bowl of a stand mixer. Add superfine sugar and salt; whisk together using the whisk attachment on medium-low speed, about 2 minutes.']"
8,uncertain,l-recipe/62179424/breakfast-pies/,Breakfast Pies,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['Pesto:', '1 cup packed fresh basil', '1 tablespoon freshly squeezed lemon juice', '1 clove garlic', '3 tablespoons olive oil', '1/2 cup grated Parmesan cheese', '1 tablespoon chopped walnuts', '1/8 teaspoon kosher salt', 'Bread:', '2 teaspoons yeast', '1 cup warm water', '2 1/2 cups all-purpose flour, or more as needed', '1 teaspoon kosher salt', '1 tablespoon olive oil', '1 teaspoon cornmeal (optional)']","['Combine basil, lemon juice, and garlic in a food processor. Process until smooth. Gradually pour in olive oil and process until pesto thickens. Add Parmesan cheese, walnuts, and salt; process for 20 seconds more. Refrigerate for 1 hour to allow flavors to combine.', 'Meanwhile, sprinkle yeast over warm water in a large bowl. Let sit until frothy, about 10 minutes.', 'Mix flour and salt together in a bowl. Gradually add to the yeast mixture along with olive oil. Stir until just combined. Add more flour if dough is sticking to the sides of the bowl. Turn dough out onto a lightly floured surface and knead until smooth and elastic, about 5 minutes.', 'Form dough into a ball and place in a lightly oiled bowl. Turn dough over so both top and bottom are oiled. Cover with aluminum foil and let rise until doubled, about 1 hour.', ""Lightly flour your work surface. Gently stretch and elongate dough into a rectangle roughly 12x18 inches. Spread the pesto over the dough, leaving a 1/2-inch border. Gently roll up into a 'snake', starting from 1 long side. Pinch the seam closed."", 'Preheat the oven to 425 degrees F (220 degrees C). Dust a baking sheet with cornmeal or line with parchment paper.', 'Transfer rolled dough onto the prepared baking sheet. Use a pastry cutter or sharp knife to cut the roll in half lengthwise. Turn dough so cut edges face up. Gently crisscross the dough, keeping cut edges facing up. Pinch ends together to form a wreath. Let rest for 30 minutes.', 'Bake in the preheated oven until golden brown, 20 to 25 minutes. Let cool slightly before serving.']"
9,uncertain,245951/bacon-breakfast-casserole-gluten-free/,Bacon Breakfast Casserole (Gluten Free),"[]",0,4.75,https://images.media-allrecipes.com/userphotos/560x315/3185077.jpg,"['1 pound bacon', '2 cups milk', '8 eggs', '1 teaspoon seasoned salt', '1 teaspoon ground black pepper', '2 cups shredded Cheddar cheese', '1 onion, chopped', '1 green bell pepper, chopped', '3 red potatoes, thinly sliced', '5 mushrooms, sliced']","['Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels, reserving 1 tablespoon bacon grease. Crumble bacon into pieces.', 'Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch casserole dish with reserved bacon grease.', 'Place milk, eggs, seasoned salt, and black pepper in the bowl of a stand mixer fitted with a paddle attachment. Beat on medium speed until smooth and pale, about 5 minutes. Add bacon pieces, Cheddar cheese, onion, and green bell pepper; beat until combined, about 1 1/2 minutes more.', 'Layer potato slices in the bottom of the casserole dish. Pour egg mixture over potatoes. Arrange sliced mushrooms on top. Cover casserole with aluminum foil.', 'Bake in the preheated oven, about 35 minutes. Remove aluminum foil and bake until eggs are set, about 30 minutes more.']"
10,uncertain,270870/easy-breakfast-casserole/,Easy Breakfast Casserole,"[]",0,3.5,https://images.media-allrecipes.com/userphotos/560x315/4883701.jpg,"['5 slices bread, cubed', '2 tablespoons butter', '1/2 cup sliced fresh mushrooms', '1/4 cup diced onion', '1/4 cup diced green bell pepper', '1/4 cup chopped ham', '7 eggs', '1/2 cup 2% milk', '2 teaspoons mustard', '2 teaspoons Worcestershire sauce', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper', '1 dash hot pepper sauce (such as Tabasco®), or to taste', '1 cup shredded Mexican cheese blend', '3 tablespoons grated Parmesan cheese']","['Preheat the oven to 350 degrees F (175 degrees C). Spread bread cubes in a 8x12-inch casserole dish.', 'Melt butter in a large skillet over medium heat. Add mushrooms, onion, and green pepper; cook and stir until starting to soften, about 5 minutes. Stir in ham until heated through, 2 to 3 minutes. Remove from heat.', 'Whisk eggs and milk together in a separate bowl; mix in mustard, Worcestershire sauce, salt, pepper, and hot sauce. Stir in mushroom-ham mixture and cheeses. Pour into the casserole dish. Stir well to moisten the bread cubes. Cover baking dish with foil.', 'Bake in the preheated oven until eggs are set, about 25 minutes. Uncover and continue baking until top starts to brown, about 5 minutes more.']"


11,main,202760/dominican-style-oatmeal/,Dominican Style Oatmeal,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",276,4.81884050369263,https://images.media-allrecipes.com/userphotos/560x315/2768522.jpg,"['1 1/2 cups milk', '1/2 cup quick cooking oats', '2 tablespoons white sugar', '1/4 teaspoon ground cinnamon', '1 pinch ground nutmeg', '1 pinch salt', '1/4 teaspoon lemon zest (optional)']","['Combine milk, oats, sugar, cinnamon, nutmeg, and salt in a saucepan. Add lemon peel, if using. Bring to a boil, stirring constantly for 2 minutes.']"
12,certain,12282/blueberry-grunt/,Blueberry Grunt,"[]",10,3.29999995231628,https://images.media-allrecipes.com/userphotos/250x250/594560.jpg,"['1 Large 2 lb 10 oz. can Fri Chick (or equivalent of favorite chicken meet substitute)', ""4 Chayote's (you can substitute white potatoes, but the chayote's really do make it special)"", '4 Carrots', '¼ lbs. fresh green beans', '2 Onions', '1 head of Garlic', '2 Tablespoons Raisins', '1 Small can sliced black olives', '4 Cups Water', ""3 Tablespoons McKay's chicken style instant broth and seasoning"", '1 10 oz can tomato puree', '1 bunch of cilantro', '1 Tablespoon oil', '1/4 teaspoon dried red pepper', 'Salt and pepper to taste']","['Peel and slice carrots', 'Peel and cube Chayotes (If using potatoes do not peel them)', 'Wash and cut ends off of fresh green beans, cut them into three pieces', 'Peel and dice onions', 'Place oil in pan and heat', 'Add onions and saute until translucent', 'Add peeled diced Garlic', 'Add carrots and chayotes cook 5 minutes', 'Add fresh green beans', 'Add Frichick and all liquid in can', 'Add salt, black pepper, red pepper', 'Add raisins', 'Add chicken broth mixed with tomato puree', 'Clean bunch of cilantro and mince finely add to the pot', 'Bring to a boil', 'Cover and cook on low to medium heat for 30 minutes over medium heat', 'Serve over rice.', 'Very hearty filling meal.']"
13,certain,20496/baked-oatmeal-i/,Baked Oatmeal I,"[]",422,4.55687189102173,https://images.media-allrecipes.com/userphotos/560x315/5446101.jpg,"['1/2 cup vegetable oil', '3/4 cup white sugar', '2 eggs', '1 cup milk', '1/2 teaspoon salt', '1 tablespoon baking powder', '3 cups quick cooking oats', '1/2 cup raisins', '2 tablespoons brown sugar', '1/2 teaspoon ground cinnamon']","['Beat together oil and sugar. Mix in eggs, milk, salt, baking powder, oatmeal. Beat well then stir in raisins. Pour into a lightly grease pie pan. Sprinkle with brown sugar and cinnamon. Refrigerate overnight.', 'The next morning, preheat oven to 350 degrees F (175 degrees C).', 'Bake in preheated oven until firm, about 35 minutes. Serve hot.']"
14,certain,l-recipe/64673604/oat-baked-cranberry-apples/,Oat Baked Cranberry Apples,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['10 honeycrisp apples', '3/4 c sugar', '1 tsp cinnamon', '1/2 tsp nutmeg', '1/2 c dried cranberries (optional)', '3/4 c butter', '3/4 c flour', '3/4 c quick cooking oats', '1/2 tsp salt', '1 1/2 c brown sugar, firmly packed']","['Preheat oven to 325*', 'Peel, core, and slice apples. Place in 13""x 9"" baking dish.', 'In small bowl, mix sugar, cinnamon, and nutmeg. Sprinkle evenly over apples. Then, place cranberries evenly over apple mixture.', 'In medium saucepan, melt butter. Meanwhile, mix flour, oats and salt in a bowl.', 'Remove butter from heat, and stir in flour, quick cooking oats, and salt.  Stir in brown sugar.  Should be course crumbles. Spread evenly over apple mixture.', 'Bake for 20 to 30 minutes uncovered, or until the apples are tender when pierced with a fork.']"
