id,type,recipe,title,most_similar,ratings,stars,image,ingredients,directions
0,main,220648/quick-and-easy-strawberry-shake-pie/,Quick and Easy Strawberry Shake Pie,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",5,4.66666650772095,https://images.media-allrecipes.com/userphotos/560x315/4499439.jpg,"['1 (8 ounce) package cream cheese, softened', '1/2 (14 ounce) can sweetened condensed milk', '3/4 cup mashed strawberries', '2 (8 ounce) containers frozen whipped topping, thawed, divided', '2 (9 inch) prepared graham cracker crusts', 'sliced fresh strawberries (optional)']","['Beat cream cheese and sweetened condensed milk with an electric mixer in a bowl until well combined.', 'Stir strawberries and 1 container whipped topping into cream cheese mixture.', 'Spread mixture into the two prepared pie crusts. Top pies with remaining container of whipped topping.', 'Garnish with sliced strawberries if desired. Chill for at least 2 hours.']"
1,certain,15400/caramel-pie/,Caramel Pie,"[]",71,4.53521108627319,https://images.media-allrecipes.com/userphotos/560x315/1731471.jpg,"['1 (14 ounce) can sweetened condensed milk', '1 (9 inch) prepared graham cracker crust', '1 (12 ounce) container frozen whipped topping, thawed']","['In a large pot, place the can of sweetened condensed milk with the label taken off, in the pot and cover with water. Cook on high until water comes to a boil, then turn on medium/high for 4 hours, only adding water to keep the can covered.', 'Carefully open can and pour into pie shell. Cool pie in refrigerator. When completely cooled, top with frozen whipped topping. Serve.']"
2,certain,l-recipe/56438096/chriss-quick-and-easy-lemon-pie/,Chris's Quick and Easy Lemon Pie,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['1 (4.3 ounce) package non-instant lemon pudding mix', '1 (8 ounce) package cream cheese, softened', '1/2 (14 ounce) can sweetened condensed milk', '4 tablespoons lemon juice', '1 tbs lemon zest', '1 (9 inch) prepared graham cracker crust', '1 (8 ounce) container frozen whipped topping, thawed']","['Cook pudding as directed on package. After pudding thickens, turn down heat to low. Stir in cream cheese, condensed milk,lemon juice and lemon zest. Stir frequently as mixture may stick to saucepan.', 'Pour mixture into graham cracker crust. Cover and refrigerate at least 4 hours or overnight. When pie is ready, serve with whipped topping.']"
3,certain,276074/5-ingredient-no-bake-cheesecake/,5-Ingredient No-Bake Cheesecake,"[]",0,0,https://images.media-allrecipes.com/images/79591.png,"['2 1/2 pounds ground turkey', '1/2 cup chopped onion', '1/2 cup chopped green bell pepper', '1/2 cup chopped tomato', '1 cup no-salt-added ketchup', '7 tablespoons barbeque sauce', '2 tablespoons prepared yellow mustard', '1 tablespoon vinegar', '1/2 teaspoon celery seed', '1/2 teaspoon ground black pepper', '1/2 teaspoon red pepper flakes, or to taste', '8 hamburger bun, split and toasted']","['Heat a nonstick skillet over medium heat; cook and stir turkey, onion, bell pepper, and tomato until turkey is crumbly and no longer pink, about 5 minutes. Stir in ketchup, barbeque sauce, mustard, vinegar, celery seed, black pepper, and red pepper flakes. Reduce heat to low and simmer for 10 minutes, stirring occasionally. Serve turkey mixture on toasted hamburger buns.']"
4,certain,15964/lemon-icebox-pie-iii/,Lemon Icebox Pie III,"[]",432,4.5,https://images.media-allrecipes.com/userphotos/560x315/439002.jpg,"['3 quarts water', '1 1/2 cups medium-grain rice', '5 ounces white fish, cut into small chunks', '1 (3 inch) piece fresh ginger root, thinly sliced', '1 spring onion, sliced', '2 teaspoons chicken bouillon granules', '1/2 teaspoon ground black pepper', '3 tablespoons chopped fresh parsley', '1/2 teaspoon salt, or to taste']","['Combine water and rice in a large pot over high heat. Bring to a boil; simmer for 5 minutes. Reduce heat to medium-low and simmer until rice is tender, about 30 minutes.', 'Combine fish, ginger, spring onion, chicken bouillon granules, and pepper in a bowl. Let marinate for 15 minutes.', 'Stir fish mixture into the pot. Simmer gently until rice is very soft and fish is falling apart, about 20 minutes. Season with parsley and salt.']"
5,certain,8331/carrot-cake-with-butter-sauce/,Millionaire Pie,"[]",59,4.61016941070557,https://images.media-allrecipes.com/userphotos/560x315/7420218.jpg,"['1 (0.6 ounce) cake compressed fresh yeast', '1/4 cup warm water (110 degrees F/45 degrees C)', '1/2 cup white sugar', '1/2 cup butter', '1 egg, beaten', '1 teaspoon salt', '2 cups scalded milk', '6 cups all-purpose flour', '1 pinch ground ginger', '1 pinch ground mace', '1/4 teaspoon orange zest', '1/2 cup golden raisins', '1/2 cup candied mixed fruit peel', '1/2 cup blanched slivered almonds', '1 egg yolk', '1 tablespoon milk', ""2 tablespoons confectioners' sugar""]","['Dissolve yeast in warm water.', 'In a large bowl, cream sugar and butter. Add beaten egg and salt. Stir in cooled milk and then the yeast. Add 1 1/2 cups sifted flour; beat into a smooth batter. Cover and let rise until light, about one hour.', 'Stir spices and dried orange zest into the sponge. Add 4 1/2 cups of flour to make a soft dough. Place on a lightly floured board, and knead until smooth and elastic. Knead in raisins and candied peel. Put in a well oiled bowl, and turn once to coat the surface of the dough.  Cover. Set aside to rise until double in bulk, about 2 hours.', 'Divide dough into ten parts, roll into desired lengths, and let rise about 15 minutes.', 'On a heavily greased baking sheet, make a braid of three parts, beginning in the center and working braid loosely toward each end. Pinch ends together. Twist the remaining two pieces together, and place on the base of the braid. In a small bowl, beat together egg yolk and milk; brush the loaf with this mixture. Sprinkle sliced almonds over the loaf. Repeat process for second loaf. Let rise about 45 minutes.', ""Bake at 350 degrees F (175 degrees C) for 45 minutes. Transfer bread to a wire rack, and cool completely. Cover while cooling with a tea towel to make a soft crust. Sprinkle with confectioners' sugar.""]"
6,uncertain,l-recipe/64532971/lemon-yogurt-pie-with-graham-cracker-crust/,Lemon Yogurt Pie with Graham Cracker Crust,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['1 pound fresh mushrooms, sliced', '1 large onion, chopped', '2 tablespoons butter or stick margarine', '1 1/2 pounds boneless skinless chicken breasts, cut into 2-inch strips', '1/4 cup browning sauce', '1 1/3 cups reduced-sodium beef broth, divided', '1 cup white wine or additional reduced-sodium beef broth', '2 tablespoons ketchup', '2 garlic cloves, minced', '1 teaspoon salt', '3 tablespoons all-purpose flour', '1 cup (8 ounces) fat-free sour cream', '6 cups cooked no-yolk noodles']","['In a large nonstick skillet, saute mushrooms and onion in butter until tender. Remove and set aside. In the same skillet, cook the chicken with browning sauce until browned. Add 1 cup broth, wine or additional broth, ketchup, garlic and salt. Bring to a boil. Reduce heat; cover and simmer for 15 minutes.', 'Combine flour and remaining 1/3 cup broth until smooth; stir into chicken mixture. Add reserved mushroom mixture. Bring to a boil; cook and stir for 2 minutes or until thickened. Reduce heat to low. Stir in sour cream; heat through (do not boil). Serve over noodles.']"
7,uncertain,239157/easy-apple-pie-coffee-cake/,Easy Apple Pie Coffee Cake,"[]",0,4.5,https://images.media-allrecipes.com/userphotos/560x315/1394295.jpg,"['3 cups shredded cabbage', '1 carrot, shredded', '1 onion, diced', '1 red bell pepper, diced', '1 jalapeno pepper, seeded and diced', '1 tablespoon chopped fresh cilantro', '1/2 cup canola oil', '2 tablespoons apple cider vinegar', '1 tablespoon white sugar', '1 teaspoon cayenne pepper', 'salt and pepper to taste']","['In a large bowl, toss together the cabbage, carrot, onion, red pepper, jalapeno and cilantro.  Set aside.', 'In a small bowl, whisk together the oil, vinegar, sugar, cayenne pepper, salt and pepper.  Pour over vegetable mixture and toss to combine.  Cover and refrigerate for at least one hour.']"
8,uncertain,l-recipe/63990284/best-ever-pie-crust/,Best Ever Pie Crust,"[]",0,5,https://images.media-allrecipes.com/images/79590.png,"['1 package (2-layer size) white cake mix', '1 cup boiling water', '1 (3 ounce) package JELL-O Brand Cranberry Flavor Gelatin', ""6 ounces BAKER'S White Chocolate, broken into pieces"", '1 (8 ounce) package PHILADELPHIA Cream Cheese, softened', '1/4 cup butter or margarine, softened', '1 teaspoon vanilla', '2 1/2 cups powdered sugar', '1/2 cup dried cranberries']","['Prepare cake batter and bake as directed on package for 24 cupcakes. Cool in pans 10 min. Pierce tops with fork.', 'Add boiling water to gelatin mix in small bowl; stir 2 min. until completely dissolved. Spoon over cupcakes. Refrigerate 30 min.', 'Melt chocolate as directed on package. Beat cream cheese and butter in large bowl with mixer until blended. Add chocolate and vanilla; mix well. Gradually add sugar, beating after each addition until light and fluffy.', 'Spread frosting onto cupcakes. Top with cranberries.']"
9,uncertain,12296/peanut-butter-pie-vi/,Peanut Butter Pie VI,"[]",0,3,https://images.media-allrecipes.com/userphotos/560x315/3204337.jpg,"['12 eggs', 'oil for deep frying', '4 tablespoons cornstarch, plus more as needed', 'bamboo skewer', 'Sauce:', '1/4 cup rice vinegar', '1/4 cup ketchup', '1/4 cup brown sugar', '2 teaspoons soy sauce', 'Batter:', '1 cup all-purpose flour', '1/2 cup water', 'salt and freshly ground black pepper to taste', 'red and yellow food coloring']","['Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel.', 'Combine rice vinegar, ketchup, brown sugar, and soy sauce in a saucepan. Heat over medium heat while stirring until sugar has dissolved, about 5 minutes. Stir sauce and let cool.', 'Prepare the batter by adding a few drops of red and yellow food coloring to the water to get a deep orange color. Combine flour with salt and pepper in a bowl; pour in orange water and stir until there are no lumps.', 'Heat oil in a wok to 375 degrees F (190 degrees C).', 'Gently roll eggs in cornstarch to coat and shake off excess cornstarch. Dip into orange batter so they are fully covered. Poke eggs with the bamboo skewer and drop into the hot oil. Deep fry until the batter is crispy, about 2 minutes per side. Remove eggs with a slotted spoon and drain on paper towels.']"
