id,type,recipe,title,most_similar,ratings,stars,image,ingredients,directions
0,certain,main,220310/simple-coffee-drink/,Simple Coffee Drink,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",19,4.78947353363037,https://images.media-allrecipes.com/userphotos/560x315/801040.jpg,"['1 cup milk', '1/2 cup cold brewed coffee', '2 (1 gram) packets granular sucrolose sweetener (such as Splenda®)']","['Mix milk, coffee, and sweetener together in a glass until sweetener is dissolved.']"
1,certain,146996/sugar-free-cardamom-mango-smoothie/,Sugar-Free Cardamom-Mango Smoothie,"[]",12,3.75,https://images.media-allrecipes.com/userphotos/560x315/1306426.jpg,"['2 pounds jumbo shrimp, peeled and deveined', 'salt and pepper to taste', '2 tablespoons butter', '1/4 cup lemon juice', '1 cup steak sauce (e.g. A-1)', '2 tablespoons Worcestershire sauce', '3 fluid ounces dry sherry or Madeira', '2 tablespoons all-purpose flour', '3 tablespoons water', '2 tablespoons butter', '1 tablespoon canola oil']","['Season shrimp with salt and pepper.  Set aside.', 'Melt 2 tablespoons butter in a saucepan over medium heat.  Add lemon juice, steak sauce, Worcestershire sauce and sherry or Madeira.  In a small bowl, whisk together flour and water, then whisk into the steak sauce mixture.  Cook and stir constantly until thickened and smooth.  Adjust the thickness of the sauce, if necessary, adding a little more steak sauce if too thin or more sherry if too thick.  Keep warm while cooking shrimp.', 'Place 2 tablespoons butter and canola oil in a large skillet over high heat. Once the butter has melted, stir in shrimp, and cook until pink and opaque, about 5 minutes.  Place shrimp on a heated serving plate and dress with sauce.  Serve hot.']"
2,certain,68986/mock-oatmeal/,Mock Oatmeal,"[]",41,3.87804889678955,https://images.media-allrecipes.com/userphotos/560x315/4518958.jpg,"['1/2 cup ricotta cheese', '1 tablespoon granular sucrolose sweetener (such as Splenda®)', '1 teaspoon vanilla extract']","['In a cereal bowl, stir together the ricotta cheese, sweetener and vanilla. Cover with plastic wrap, and poke a hole to vent steam. Heat in the microwave oven for 2 to 3 minutes, until hot. Remove plastic wrap, stir and enjoy.']"
3,certain,260905/light-caramel-frappe/,Light Caramel Frappe,"[]",0,5,https://images.media-allrecipes.com/userphotos/560x315/5171803.jpg,"['3 cups ice cubes', '1 cup 2% milk', '1 cup strong brewed coffee, chilled', '2 tablespoons sugar-free caramel topping', '2 teaspoons vanilla extract', '3 (1 gram) packets granular sucralose sweetener (such as Splenda®), or to taste', '1 tablespoon fat-free frozen whipped topping, thawed (optional)', '1 tablespoon sugar-free caramel topping']","['Combine ice, milk, coffee, 2 tablespoons caramel topping, vanilla extract, and sucralose sweetener in a blender. Pulse until ice is crushed to a smooth and thick consistency. Pour into a mug or tall glass; decorate with whipped topping. Drizzle 1 tablespoon caramel syrup on top.']"
4,certain,273516/white-chocolate-coffee/,White Chocolate Coffee,"[]",0,0,https://images.media-allrecipes.com/userphotos/560x315/3534476.jpg,"['1 (18 ounce) jar crunchy peanut butter', '1/2 cup coconut oil', '2 tablespoons agave nectar', '1 teaspoon Celtic sea salt', '1 cup flax seed meal', '1 cup hempseed', '2 1/2 cups rolled oats', '2 (12 ounce) bags dark chocolate chips (such as Ghirardelli®)', '1 cup pecan pieces']","['Beat peanut butter in a bowl of a stand mixer on low speed until creamy. Add coconut oil, agave nectar, sea salt, flax seed, hempseed, rolled oats, dark chocolate chips, and pecan pieces respectively, beating dough well after each addition.', 'Scoop dough into smalls balls onto a plate. Chill in the refrigerator until set, at least 30 minutes.']"
5,certain,277753/sugar-free-hot-chocolate-mix/,Sugar-Free Hot Chocolate Mix,"[]",0,3,https://images.media-allrecipes.com/userphotos/560x315/7604561.jpg,"['6 lamb shanks', 'salt and pepper to taste', '2 tablespoons olive oil', '2 onions, chopped', '3 large carrots, cut into 1/4 inch rounds', '10 cloves garlic, minced', '1 (750 milliliter) bottle red wine', '1 (28 ounce) can whole peeled tomatoes with juice', '1 (10.5 ounce) can condensed chicken broth', '1 (10.5 ounce) can beef broth', '5 teaspoons chopped fresh rosemary', '2 teaspoons chopped fresh thyme']","['Sprinkle shanks with salt and pepper. Heat oil in heavy large pot or Dutch oven over medium-high heat. Working in batches, cook shanks until brown on all sides, about 8 minutes. Transfer shanks to plate.', 'Add onions, carrots and garlic to pot and saute until golden brown, about 10 minutes. Stir in wine, tomatoes, chicken broth and beef broth. Season with rosemary and thyme. Return shanks to pot, pressing down to submerge. Bring to a boil, then reduce heat to medium-low.  Cover, and simmer until meat is tender, about 2 hours.', 'Remove cover from pot. Simmer about 20 minutes longer. Transfer shanks to platter, place in a warm oven. Boil juices in pot until thickened, about 15 minutes.  Spoon over shanks.']"
6,uncertain,270687/hot-nutty-irish-coffee/,Hot Nutty Irish Coffee,"[]",0,5,https://images.media-allrecipes.com/userphotos/560x315/6427239.jpg,"['1/2 tablespoon white sugar, or as needed', '1/4 teaspoon ground cinnamon, or as needed', '1 fluid ounce Irish cream liqueur (such as Baileys®)', '1 fluid ounce hazelnut liqueur (such as Frangelico®)', '3/4 cup brewed coffee, or more to taste', '1 tablespoon whipped cream, or to taste']",['Mix sugar and cinnamon together on a flat dish. Wet the rim of a mug and dunk into the cinnamon-sugar mixture. Pour Irish cream and hazelnut liqueur into the mug. Add coffee. Top coffee with whipped cream and a sprinkle of cinnamon sugar.']
7,uncertain,235280/coffee-and-cream-cocktail/,Coffee and Cream Cocktail,"[]",0,5,https://images.media-allrecipes.com/userphotos/560x315/1091436.jpg,"['4 ice cubes, or as desired', '1 1/2 fluid ounces coffee-flavored liqueur', '1 1/2 fluid ounces Irish cream liqueur']",['Fill a small glass with ice cubes; pour in coffee-flavored liqueur and Irish cream liqueur. Stir well.']
8,uncertain,l-recipe/64102700/cold-brew-iced-coffee-concentrate/,Cold Brew Iced Coffee Concentrate,"[]",0,5,https://images.media-allrecipes.com/images/79590.png,"['4 pounds pork baby back ribs', 'salt and pepper to taste', '2 cups ketchup', '1 cup chili sauce', '1/2 cup packed brown sugar', '4 tablespoons vinegar', '2 teaspoons dried oregano', '2 teaspoons Worcestershire sauce', '1 dash hot sauce']","['Preheat oven to 400 degrees F (200 degrees C).', 'Season ribs with salt and pepper. Place in a shallow baking pan. Brown in oven 15 minutes. Turn over, and brown another 15 minutes; drain fat.', 'In a medium bowl, mix together the ketchup, chili sauce, brown sugar, vinegar, oregano, Worcestershire sauce, hot sauce, and salt and pepper. Place ribs in slow cooker. Pour sauce over ribs, and turn to coat.', 'Cover, and cook on Low 6 to 8 hours, or until ribs are tender.']"
9,uncertain,l-recipe/62061328/low-carb-coffee-frappe/,Low carb coffee frappe,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['1 pound ground beef', '2 teaspoons minced garlic', '1 (26 ounce) jar spaghetti sauce', '1/2 cup water', '1 (12 ounce) container cottage cheese', '1 egg, lightly beaten', '1 1/2 teaspoons ground black pepper', '8 lasagna noodles', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 (8 ounce) package shredded mozzarella cheese', '1/2 cup grated Parmesan cheese']","['Crumble beef and garlic into a 2-quart microwave-safe bowl. Heat in microwave on high until beef is no longer pink, about 6 minutes. Stir and drain beef. Add spaghetti sauce and water.', 'Combine cottage cheese, eggs, and black pepper in another bowl.', 'Spread about 1/2 cup meat mixture in the bottom of a 9x13-inch baking dish. Arrange half the lasagna noodles over sauce and spread with cottage cheese mixture. Top cottage cheese mixture with half the spinach, half the meat sauce, and half the mozzarella cheese; repeat each layer.', 'Cover baking dish with heavy-duty plastic wrap and heat in microwave on high for 8 minutes. Continue to heat in microwave on medium until noodles are tender and cheese is melted, 30 to 32 minutes, turning dish occasionally. Sprinkle with Parmesan cheese and allow lasagna to rest for 15 minutes before slicing and serving.']"
