id,type,recipe,title,most_similar,ratings,stars,image,ingredients,directions
0,main,46677/joannes-super-hero-sandwich/,Joanne's Super Hero Sandwich,"[1,2,3,4,5,6,7,8,9,10]",123,4.64227628707886,https://images.media-allrecipes.com/userphotos/250x250/79495.jpg,"['1/2 cup olive oil', '1 tablespoon lemon juice', '3 tablespoons tarragon vinegar', '3 cloves garlic, minced', '2 tablespoons chopped fresh parsley', '2 teaspoons dried oregano', '1/2 teaspoon black pepper', '1 cup black olives, chopped', '1 cup mushrooms, chopped', '1 (1 pound) loaf round, crusty Italian bread', '1/2 pound sliced deli turkey meat', '1/2 pound sliced ham', '1/4 pound sliced salami', '1/2 pound sliced mozzarella cheese', '6 leaves lettuce', '1 tomato, sliced']","['In a medium bowl, combine olive oil, lemon juice, vinegar and garlic. Season with parsley, oregano and pepper. stir in olives and mushrooms. Set aside.', 'Cut the off top half of the bread. Scoop out the inside, and leave a 1/2 inch outside wall. Spoon 2/3 of the olive mixture into the bottom. Layer with turkey, ham, salami, mozzarella, lettuce and tomato. Pour remaining olive mixture on top, and replace the top half of bread. Wrap securely in plastic wrap, and refrigerate overnight.']"
1,certain,222714/mushroom-and-tomato-bruschetta/,Mushroom and Tomato Bruschetta,"[]",9,4.44444465637207,https://images.media-allrecipes.com/userphotos/560x315/5125673.jpg,"['1 loaf Italian bread, cut into 3/4-inch thick slices', '1/2 cup olive oil', '1/2 pound diced fresh mushrooms', '5 green onions, minced', '4 cloves garlic, minced', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon chopped fresh parsley', '3 large tomatoes, diced', '1 teaspoon balsamic vinegar', '2 cups shredded mozzarella cheese']","[""Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Arrange bread slices on a baking sheet in a single layer."", 'Broil bread slices until toasted, 1 to 2 minutes; watch carefully to prevent burning. Remove toasted slices and set aside on baking sheet.', 'Heat olive oil in a skillet over medium heat; cook and stir mushrooms, green onions, garlic, salt, black pepper, and parsley until mushrooms are softened and juicy, about 5 minutes. Set mixture aside. Mix diced tomatoes with balsamic vinegar in a bowl and set aside.', 'Top each toasted bread slice with mushroom mixture and spread tomato mixture on top. Spread mozzarella cheese over each appetizer. Return to broiler until cheese has melted and bruschetta are hot, about 5 minutes.']"
2,certain,161440/greek-orzo-with-feta/,Greek Orzo with Feta,"[]",60,4.33333349227905,https://images.media-allrecipes.com/userphotos/250x250/147660.jpg,"['1/4 cup olive oil', '1/2 cup fresh lemon juice', '1/2 cup pitted kalamata olives, chopped', '2 ripe tomatoes, seeded and diced', '1 red bell pepper, chopped', '1 red onion, chopped', '2 cloves garlic, minced', '1 teaspoon finely chopped fresh oregano', '1 (8 ounce) package crumbled feta cheese', '1/2 pound dried orzo pasta', '1 cup chopped fresh parsley']","['Stir together olive oil, lemon juice, olives, tomatoes, red pepper, red onion, garlic, oregano, and feta cheese in a large bowl. Let stand at room temperature for 1 hour.', 'Bring a large pot of lightly salted water to a boil. Add the orzo and cook for 8 to 10 minutes or until al dente; drain and toss the tomato mixture. Sprinkle with chopped parsley to serve.']"
3,certain,23919/sicilian-meat-roll/,Sicilian Meat Roll,"[]",90,4.59999990463257,https://images.media-allrecipes.com/userphotos/560x315/12537.jpg,"['2 eggs, beaten', '1/2 cup tomato juice', '3/4 cup soft bread crumbs', '2 tablespoons snipped fresh parsley', '1/2 teaspoon dried oregano, crushed', '1/4 teaspoon sea salt', '1/4 teaspoon ground black pepper', '1 clove garlic, minced', '2 pounds lean ground beef', '1 (6 ounce) package thinly sliced ham', '1 (6 ounce) package sliced mozzarella cheese']","['In a large bowl, combine eggs and tomato juice. Stir in the bread crumbs, parsley, oregano, salt, pepper, garlic and ground beef. Mix thoroughly. Preheat oven to 350 degrees F (175 degrees C).', 'On a piece of foil or waxed paper, pat and shape meat into a 10x8 inch rectangle. Arrange ham slices on top of meat, leaving a small margin around edges. Tear up the cheese slices, reserving 1 slice whole, and sprinkle over the ham.', 'Starting from the short end, carefully roll up meat, using the foil or waxed paper to lift. Seal the edges and ends of the meat. Place roll, seam side down, in a 9x13 inch baking dish.', 'Bake in a preheated oven for about 75 minutes. Cut the reserved slice of cheese into 4 triangles. Overlap the triangles on top of loaf. Bake for another 2 minutes or until cheese melts.']"
4,certain,21499/red-snapper-livornese/,Red Snapper Livornese,"[]",177,4.38983058929443,https://images.media-allrecipes.com/userphotos/250x250/213408.jpg,"['2 tablespoons olive oil', '1/2 small onion, diced', '2 cloves garlic, minced', '5 whole canned tomatoes, drained and chopped', '2 tablespoons capers, chopped', '1/2 cup sliced black olives, drained', '1/4 teaspoon crushed red pepper flakes', '1/2 tablespoon chopped fresh parsley', '1 pound red snapper fillets', '1 tablespoon fresh lemon juice']","['Preheat oven to 400 degrees F (200 degrees C).', 'In a medium skillet, heat olive oil and saute onion until tender, about 5 minutes. Add garlic, and saute for 1 minute. Stir in tomatoes, capers, black olives, red pepper flakes, and parsley. Bring to a boil, and simmer for 10 minutes.', 'Spread 1/2 cup of the sauce in a 11x7 inch baking dish, and arrange the snapper fillets in a single layer in the dish.  Drizzle lemon juice over the fillets, and then pour the remaining sauce over all.', 'Bake for 15 minutes for 1/2 inch thick fillets, or 30 minutes for 1 inch thick fillets. Baste once with the sauce while baking.  Snapper is done when it flakes easily with a fork.']"
5,certain,38468/cholesterol-king-heart-stopper-2000/,Cholesterol King Heart Stopper 2000,"[]",36,4.66666650772095,https://images.media-allrecipes.com/userphotos/560x315/2014909.jpg,"['1 (1 pound) loaf French bread, halved lengthwise', '4 tablespoons butter, softened', '1 clove garlic, minced', '1 cup grated Parmesan cheese', '1 head lettuce, shredded', '1 pound sliced cooked ham', '1 pound sliced deli turkey meat', '1 pound sliced cotto salami', '1 pound sliced mozzarella cheese', '1 pound sliced Swiss cheese', '1 pound sliced provolone cheese', '2 tomatoes, sliced', '1 sweet onion, sliced', '1 (10 ounce) can pitted black olives, sliced (optional)', '1 (4 ounce) jar sliced mushrooms, drained (optional)', '1 green bell pepper, seeded and thinly sliced (optional)']","['Preheat oven to 425 degrees F (220 degrees C). In a small bowl, mix together the butter and garlic. Spread garlic butter on both halves of bread, and sprinkle liberally with Parmesan cheese. Place in preheated oven until cheese is golden brown. Remove from oven and allow to cool slightly.', 'On the bottom half of the bread, place a layer of lettuce. Alternating between meat and cheese, arrange layers of ham, turkey, salami, mozzarella, Swiss cheese and provolone. Add a layer of tomatoes, onion, black olives, mushrooms, green peppers and anything else you like. Place the remaining half of bread on top.', 'Place the sandwich on a cutting board, and slice into individual servings.']"
6,uncertain,266150/marinated-mushrooms-for-antipasto/,Marinated Mushrooms for Antipasto,"[]",0,5,https://images.media-allrecipes.com/userphotos/560x315/5511790.jpg,"['1 pound small mushrooms, stemmed', '4 tablespoons extra-virgin olive oil', '3 tablespoons white wine vinegar', '1/2 red onion, finely chopped', '2 tablespoons finely chopped fresh oregano', '2 tablespoons finely chopped fresh thyme', '2 cloves garlic cloves, pressed', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper']","['Bring a large pot of lightly salted water to a boil. Add mushrooms and cook until softened, about 10 minutes. Drain and set aside to cool.', 'Combine olive oil, white wine vinegar, red onion, oregano, thyme, garlic, salt, and pepper in a large jar with a lid. Close jar and shake well. Add cooked mushrooms and refrigerate at least 5 hours. Remove from refrigerator 10 minutes prior to serving.']"
7,uncertain,l-recipe/62146905/nonnies-incredible-salad-dressing/,Nonnie's Incredible Salad Dressing,"[]",0,5,https://images.media-allrecipes.com/userphotos/250x250/693368.jpg,"['1/4 c. white wine vinegar', '1 tbsp. lemon juice', 'Pinch cayenne pepper', 'Ground pepper, to taste', '1/2 c. extra virgin olive oil', '7 tbsp. grated Parmesan cheese', '1 clove garlic, peeled and halved', '1/2 tsp. onion powder', '1/2 tsp. ground mustard', '1 large head Romaine Lettuce and other ingredients of choice']","['In a stainless steel bowl, combine vinegar, lemon juice and spices.  Whisk until thoroughly blended.  Gradually whisk in olive oil.  Mix in grated cheese and garlic.  Let stand at room temperature at least 2 hours.', 'Wash and drain 1 large head Romaine lettuce.  Tear leaves into bite-sized pieces.  Pour dressing over salad and toss well.  Serve immediately.  Add, if desired:  tomato pieces, mushrooms, cucumber, red onion, croutons, dried cranberries.']"
8,uncertain,l-recipe/62163429/turkey-and-beef-salami-muffuletta/,Turkey and Beef Salami Muffuletta,"[]",0,0,https://images.media-allrecipes.com/images/79590.png,"['Olive Salad:', '1 398 mL can of black olives, drained', '1 398 mL can of garlic stuffed green olives, drained', '1 medium size white onion', '1/4 cup red wine vinegar', '1/3 cup olive oil', '2 Tbsp fresh basil', '2 Tbsp fresh oregano', '1/2 tsp salt', 'pepper, to taste', '2 Tbsp Dijon mustard', '4 cloves of garlic', 'Sandwich Ingredients:', '1 round sourdough loaf', '500 g of sliced turkey', '500 g of sliced beef salami', '10-20 small pepperoncini peppers, stems removed and chopped', 'salt and pepper to taste', '8-10 slices provolone cheese', 'Dressing:', '2 Tbsp olive oil', '1 Tbsp mayonnaise', '2 Tbsp red wine vinegar', '1 Tbsp Dijon mustard']","['Slice sourdough bread in half and hollow out the center. Reserve the removed bread for another use.', 'In food processor prepare the olive salad. Combine all 11 ingredients and process until combined into a thick paste. Set aside.', 'Prepare the dressing. Combine dressing ingredients and whisk until smooth.', 'Assemble the sandwich. Begin by spreading half of the olive salad in the bottom of the hollowed out sandwich loaf. Layer the sandwich ingredients. Begin with turkey, salami, cheese and then pepperoncini peppers, drizzling the dressing and salt and pepper amongst the layers to taste. Repeat layers once. Top with remaining olive salad and the top portion of the hollowed out sourdough loaf.', 'Wrap tightly in plastic wrap and refrigerate for a minimum of 5 hours and up to 48 hours.', 'To serve, slice into wedges and serve with any leftover dressing if desired.']"
9,uncertain,77970/warm-greek-pita-sandwiches-with-turkey-and-cucumber-yogurt-sauce/,Warm Greek Pita Sandwiches With Turkey and Cucumber-Yogurt Sauce,"[]",82,4.42682933807373,https://images.media-allrecipes.com/userphotos/250x250/39766.jpg,"['1/2 cup sour cream', '1/2 cup plain low-fat yogurt', '1/2 cup cucumber, peeled, grated and squeezed as dry as possible', '2 teaspoons red or rice wine vinegar', '2 garlic cloves, minced', '1/2 teaspoon Salt and pepper, to taste', '4 large pitas', '2 tablespoons olive oil', '1 large onion, peeled, halved and cut into chunky wedges', '3 cups leftover roast turkey, pulled into bite-sized pieces', '1 teaspoon oregano', '1 1/2 cups shredded lettuce (preferably romaine)', '1 cup cherry tomatoes, halved and lightly salted']","['Adjust oven rack to middle position. Heat oven to 300 degrees.', 'In a small bowl, mix sour cream, yogurt, cucumber, vinegar, 1 minced garlic clove, and salt and pepper to taste; set aside.', 'Place pitas in oven; bake until warm and pliable, 7 minutes. Cut in half. Meanwhile, heat oil in a large skillet over high heat. Carefully add onion; saute until spotty brown but still crisp, 2 to 3 minutes. Add turkey, oregano and remaining minced garlic; continue to saute until heated through, another 2 minutes.', 'Serve, letting guests fill their own pitas with lettuce first, followed by turkey, tomatoes and cucumber sauce.']"
